HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(4)
V8,6,1615,0.03270803270803271,0.2557275541795666
V9,6,611,0.015611814345991562,0.13420621931260224
V12,6,719,0.043402777777777776,0.26286509040333794
V23,6,1129,0.052242054854157595,0.2967227635075288
V34,6,1873,0.03552542372881356,0.26748531767218364
V45,6,1775,0.0362066564545328,0.2794366197183099
V56,6,1871,0.03427800269905533,0.27739176910742913
V67,6,1763,0.037042293499858076,0.30629608621667614
V78,6,1635,0.03218784014927694,0.23792048929663612
V89,6,574,0.01891040072039622,0.15156794425087106
sequence,6,2114,0.03492447129909366,0.23368022705771052
