HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(4)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9989706639217705
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.9896093100581879,0.9982608695652174
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965517,0.9994614970382337
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216837,1.0
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9980694980694981
V1,1,462,0.5759162303664922,0.922077922077922
V2,1,1148,0.5080906148867314,0.9416376306620209
V3,1,1756,0.4035316254161239,0.9789293849658315
V4,1,1880,0.39199475065616796,0.9563829787234043
V5,1,1855,0.41678663979268643,0.9644204851752022
V6,1,1812,0.4149203688181056,0.9663355408388521
V7,1,1857,0.40088757396449703,0.9553042541733979
V8,1,1622,0.39791332263242374,0.969173859432799
V9,1,593,0.3844221105527638,0.9409780775716695
V12,1,735,0.43854748603351956,0.9210884353741496
V23,1,1173,0.5296703296703297,0.9633418584825234
V34,1,1790,0.3876374363100027,0.975977653631285
V45,1,1734,0.4137358072556079,0.9694348327566321
V56,1,1840,0.40209649240693457,0.9668478260869565
V67,1,1698,0.4176627759808747,0.9717314487632509
V78,1,1665,0.38790813935322604,0.9621621621621621
V89,1,537,0.3932683790965456,0.962756052141527
sequence,1,2058,0.37498499579882366,0.9169096209912536
V1,2,487,0.4716180371352785,0.893223819301848
V2,2,1232,0.38497942386831274,0.950487012987013
V3,2,1739,0.29410915391279235,0.972972972972973
V4,2,1886,0.272655634357762,0.9581124072110286
V5,2,1814,0.2921139258623157,0.9498346196251378
V6,2,1798,0.2928053541550474,0.9493882091212458
V7,2,1840,0.2843150409231182,0.9320652173913043
V8,2,1581,0.27810556530059,0.948134092346616
V9,2,609,0.23988195615514335,0.8784893267651889
V12,2,715,0.3484743411927878,0.9230769230769231
V23,2,1160,0.3822046898969976,0.9612068965517241
V34,2,1883,0.28228105906313644,0.9543281996813595
V45,2,1734,0.28800886181113267,0.9446366782006921
V56,2,1865,0.2820927723840345,0.9662198391420912
V67,2,1732,0.29786632753991804,0.9503464203233256
V78,2,1608,0.26649117373799935,0.9465174129353234
V89,2,548,0.24922118380062305,0.9124087591240876
sequence,2,2039,0.2675449101796407,0.8950465914664051
V1,3,480,0.4704016913319239,0.79375
V2,3,1232,0.37448559670781895,0.8936688311688312
V3,3,1732,0.28414827635944034,0.9209006928406467
V4,3,1896,0.26841136244082064,0.9203586497890295
V5,3,1727,0.2917726887192536,0.9004053271569195
V6,3,1693,0.2876185241170812,0.8972238629651507
V7,3,1894,0.2817948371401541,0.8363252375923971
V8,3,1586,0.26540057452920524,0.9117276166456494
V9,3,617,0.23223350253807107,0.7860615883306321
V12,3,745,0.350385423966363,0.8295302013422818
V23,3,1136,0.38739917157183346,0.9066901408450704
V34,3,1795,0.27264188917214544,0.9309192200557103
V45,3,1800,0.286472889882616,0.9238888888888889
V56,3,1890,0.27817616019483155,0.91005291005291
V67,3,1755,0.293734051601928,0.9173789173789174
V78,3,1581,0.26522744795682346,0.9146110056925996
V89,3,602,0.24669402644778843,0.845514950166113
sequence,3,2082,0.26375346093655955,0.8587896253602305
V1,4,461,0.17425431711145997,0.6052060737527115
V2,4,1232,0.1257201646090535,0.8206168831168831
V3,4,1763,0.10185453491741524,0.8587634713556438
V4,4,1926,0.09677845260100343,0.8764278296988577
V5,4,1742,0.10242243943901402,0.8622273249138921
V6,4,1788,0.10470620996936786,0.825503355704698
V7,4,1819,0.09753813219159754,0.7839472237493128
V8,4,1568,0.09388924252068746,0.84375
V9,4,610,0.06916912695065373,0.6786885245901639
V12,4,734,0.13054101221640488,0.7520435967302452
V23,4,1161,0.13064445418676018,0.8475452196382429
V34,4,1868,0.09769647696476964,0.8741970021413277
V45,4,1794,0.10011170064227869,0.8835005574136009
V56,4,1795,0.10165642532727759,0.883008356545961
V67,4,1770,0.10228725671260122,0.8451977401129943
V78,4,1573,0.08840289542584322,0.8575969485060394
V89,4,548,0.07254116599910992,0.7737226277372262
sequence,4,2084,0.09524382901866346,0.8109404990403071
V1,5,505,0.0712372790573112,0.3267326732673267
V2,5,1199,0.0539546290619252,0.432860717264387
V3,5,1729,0.037197231833910036,0.4389820705610179
V4,5,1967,0.03358555688304792,0.3812913065582104
V5,5,1727,0.03618886061634153,0.49971048060220036
V6,5,1792,0.03705767623293396,0.4347098214285714
V7,5,1839,0.03608800643949557,0.3757476889613921
V8,5,1597,0.03229416466826539,0.4614902943018159
V9,5,600,0.03359932801343973,0.33166666666666667
V12,5,714,0.04783362218370884,0.37254901960784315
V23,5,1136,0.050359712230215826,0.477112676056338
V34,5,1801,0.035316234725392776,0.44475291504719605
V45,5,1753,0.03776204359294738,0.4284084426697091
V56,5,1849,0.035252960172228204,0.4375338020551649
V67,5,1755,0.03813439183442019,0.4364672364672365
V78,5,1570,0.03278940886699507,0.4140127388535032
V89,5,562,0.03179579041648007,0.38434163701067614
sequence,5,2061,0.0335014409221902,0.34158175642891797
V1,6,509,0.0703166935050993,0.23772102161100195
V2,6,1268,0.05203150912106136,0.26813880126182965
V3,6,1684,0.03881965334479301,0.28266033254156775
V4,6,1906,0.03265736107453253,0.28488982161594967
V5,6,1782,0.03818207721897706,0.31425364758698093
V6,6,1790,0.03440111420612813,0.28324022346368716
V7,6,1803,0.035914552736982644,0.26788685524126454
