HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(4)
V7,5,3745,0.035509736540664374,0.4790387182910547
V8,5,3139,0.033346597692001594,0.5909525326537114
V9,5,1193,0.03208219752568673,0.5557418273260688
V12,5,1424,0.04329754069968826,0.634129213483146
V23,5,2312,0.053317276111232756,0.7063148788927336
V34,5,3669,0.0357455992446213,0.5799945489234124
V45,5,3639,0.03524136481468507,0.6196757350920583
V56,5,3766,0.03392808867261422,0.5939989378651089
V67,5,3542,0.03815004262574595,0.562394127611519
V78,5,3172,0.031712962962962964,0.5671500630517023
V89,5,1136,0.030983385720700495,0.590669014084507
V1,6,930,0.07052962768746722,0.49247311827956985
V2,6,2410,0.05483936975649683,0.48257261410788377
V3,6,3390,0.03507890961262554,0.435693215339233
V4,6,3846,0.03424838326514452,0.4542381695267811
V5,6,3549,0.03557959154628905,0.4736545505776275
V6,6,3614,0.035948624877844476,0.4219701162147206
V7,6,3817,0.03581826799377073,0.3798794865077286
V8,6,3097,0.03252161497580709,0.43267678398450116
V9,6,1203,0.016179869720529524,0.29758935993349955
V12,6,1449,0.04452948338841538,0.5893719806763285
V23,6,2320,0.05336401490247644,0.5155172413793103
V34,6,3668,0.03540598867008363,0.438113413304253
V45,6,3616,0.03602406267487409,0.49391592920353977
V56,6,3710,0.03454080258551037,0.4587601078167116
V67,6,3544,0.037444933920704845,0.4619074492099323
V78,6,3214,0.03050007741136399,0.3895457373988799
V89,6,1117,0.017437961099932932,0.3992837958818263
