HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(4)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,1.0
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,1.0
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,1.0
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,1.0
V89,0,1101,1.0,1.0
V1,1,911,0.5789199060787895,0.9813391877058177
V2,1,2363,0.5091131249363609,0.984765129073212
V3,1,3433,0.4060588616248111,0.9973783862510923
V4,1,3742,0.3860925416175121,0.9951897381079636
V5,1,3502,0.4187943262411348,0.9934323243860651
V6,1,3643,0.40931663985451494,0.9956080153719462
V7,1,3701,0.39711118575747395,0.990543096460416
V8,1,3104,0.4037301587301587,0.9954896907216495
V9,1,1186,0.3833752093802345,0.984822934232715
V12,1,1427,0.4399584127534223,0.98458304134548
V23,1,2266,0.5259259259259259,0.9955869373345102
V34,1,3729,0.38938172953206474,0.9941002949852508
V45,1,3696,0.4144625773776027,0.9902597402597403
V56,1,3637,0.40113902847571187,0.9942260104481716
V67,1,3517,0.4127366853414651,0.9954506681831106
V78,1,3172,0.39112654320987655,0.9911727616645649
V89,1,1122,0.39905998209489707,0.9910873440285205
V1,2,908,0.4859228362877998,0.9845814977973568
V2,2,2531,0.3833005283331607,0.9913077834847887
V3,2,3447,0.28805013325650075,0.9947780678851175
V4,2,3841,0.2742924995052444,0.9908877896381151
V5,2,3555,0.2935146294582473,0.9907172995780591
V6,2,3593,0.29358053948560675,0.9891455608126913
V7,2,3711,0.28652100840336137,0.9814066289409863
V8,2,3182,0.278789330777831,0.9880578252671276
V9,2,1147,0.23447559709241952,0.9572798605056669
V12,2,1423,0.3471861471861472,0.9901616303583978
V23,2,2254,0.38870757180156656,0.9982253771073647
V34,2,3829,0.28131178836844617,0.9916427265604596
V45,2,3556,0.2917943716912789,0.9926884139482565
V56,2,3664,0.2819170358437374,0.9918122270742358
V67,2,3564,0.2955030596271524,0.9904601571268238
V78,2,3228,0.2671264724116553,0.9876084262701363
V89,2,1145,0.25241844769403826,0.9790393013100437
V1,3,913,0.4792482380579483,0.963855421686747
V2,3,2470,0.3792464484249537,0.9728744939271255
V3,3,3417,0.28369151153597355,0.9885864793678666
V4,3,3722,0.27130514465244143,0.9836109618484685
V5,3,3546,0.2896983494593056,0.9788494077834179
V6,3,3654,0.2852442951140977,0.9767378215654078
V7,3,3705,0.2804919024259122,0.9595141700404858
V8,3,3160,0.2671396683673469,0.9768987341772152
V9,3,1200,0.2255354892902142,0.9508333333333333
V12,3,1425,0.3473064264680409,0.9705263157894737
V23,3,2245,0.3848494728833822,0.9844097995545658
V34,3,3662,0.2730888499393286,0.9822501365374112
V45,3,3654,0.2837003787347454,0.9827586206896551
V56,3,3755,0.27817923954886203,0.9805592543275633
V67,3,3580,0.2904259866077789,0.9846368715083799
V78,3,3335,0.2620145346565601,0.9859070464767616
V89,3,1128,0.2429403854773644,0.9609929078014184
V1,4,912,0.1693632567849687,0.9155701754385965
V2,4,2476,0.1295838483724763,0.9689014539579968
V3,4,3495,0.10495121069750632,0.9699570815450643
V4,4,3763,0.0966725733412089,0.9768801488174329
V5,4,3596,0.10152791660716835,0.9574527252502781
V6,4,3534,0.10134666111342497,0.9714204867006225
V7,4,3650,0.09728173540439207,0.9306849315068493
V8,4,3139,0.09176283326701154,0.9687798661994266
V9,4,1159,0.06620861961274203,0.9318377911993098
V12,4,1482,0.13296011196641008,0.9487179487179487
V23,4,2305,0.1284323378186194,0.9809110629067245
V34,4,3736,0.09905149051490515,0.9799250535331906
V45,4,3631,0.10097332119599468,0.977692095841366
V56,4,3693,0.09798910484901473,0.9791497427565665
V67,4,3444,0.10491039932270355,0.9782229965156795
V78,4,3212,0.09117647058823529,0.9682440846824408
V89,4,1088,0.07507774322523322,0.9393382352941176
V1,5,878,0.06673564407656493,0.5945330296127562
V2,5,2513,0.05438941164305656,0.6856346995622762
V3,5,3379,0.036771557594437676,0.567031666173424
V4,5,3753,0.033252443103561354,0.4940047961630696
V5,5,3545,0.03684996798747955,0.6104372355430183
V6,5,3600,0.03737796373779637,0.5666666666666667
