HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(3)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,0.9945708376421923
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,0.994408201304753
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,1.0
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,1.0
V89,0,1101,1.0,1.0
sequence,0,9549,0.9777547440599585,0.9271127866792335
V1,1,911,0.5789199060787895,0.6169045005488474
V2,1,2363,0.5091131249363609,0.8861616589081676
V3,1,3433,0.4060588616248111,0.863093504223711
V4,1,3742,0.3860925416175121,0.8773383217530732
V5,1,3502,0.4187943262411348,0.8669331810394061
V6,1,3643,0.40931663985451494,0.8863573977491079
V7,1,3701,0.39711118575747395,0.6554985139151581
V8,1,3104,0.4037301587301587,0.7941365979381443
V9,1,1186,0.3833752093802345,0.7436762225969646
V12,1,1427,0.4399584127534223,0.818500350385424
V23,1,2266,0.5259259259259259,0.881729920564872
V34,1,3729,0.38938172953206474,0.8798605524269241
V45,1,3696,0.4144625773776027,0.8787878787878788
V56,1,3637,0.40113902847571187,0.9026670332691779
V67,1,3517,0.4127366853414651,0.8785897071367643
V78,1,3172,0.39112654320987655,0.8811475409836066
V89,1,1122,0.39905998209489707,0.9171122994652406
sequence,1,9351,0.32526647094607103,0.4132178376644209
V1,2,908,0.4859228362877998,0.6729074889867841
V2,2,2531,0.3833005283331607,0.8830501777953378
V3,2,3447,0.28805013325650075,0.8987525384392225
V4,2,3841,0.2742924995052444,0.9013277792241604
V5,2,3555,0.2935146294582473,0.830098452883263
V6,2,3593,0.29358053948560675,0.8644586696354022
V7,2,3711,0.28652100840336137,0.6701697655618432
V8,2,3182,0.278789330777831,0.8444374607165305
V9,2,1147,0.23447559709241952,0.7576285963382737
V12,2,1423,0.3471861471861472,0.8460997891777934
V23,2,2254,0.38870757180156656,0.9139307897071872
V34,2,3829,0.28131178836844617,0.8944894228258031
V45,2,3556,0.2917943716912789,0.8976377952755905
V56,2,3664,0.2819170358437374,0.9088427947598253
V67,2,3564,0.2955030596271524,0.8933782267115601
V78,2,3228,0.2671264724116553,0.8822800495662949
V89,2,1145,0.25241844769403826,0.8978165938864628
sequence,2,9479,0.23759763282062218,0.34307416394134405
V1,3,913,0.4792482380579483,0.5848849945235488
V2,3,2470,0.3792464484249537,0.8388663967611336
V3,3,3417,0.28369151153597355,0.8375768217734856
V4,3,3722,0.27130514465244143,0.8640515851692638
V5,3,3546,0.2896983494593056,0.7910321489001693
V6,3,3654,0.2852442951140977,0.8026819923371648
V7,3,3705,0.2804919024259122,0.5740890688259109
V8,3,3160,0.2671396683673469,0.8136075949367089
V9,3,1200,0.2255354892902142,0.6599999999999999
V12,3,1425,0.3473064264680409,0.8554385964912281
V23,3,2245,0.3848494728833822,0.8939866369710467
V34,3,3662,0.2730888499393286,0.8817586018569088
V45,3,3654,0.2837003787347454,0.8804050355774493
V56,3,3755,0.27817923954886203,0.8716378162450067
V67,3,3580,0.2904259866077789,0.8720670391061452
V78,3,3335,0.2620145346565601,0.864767616191904
V89,3,1128,0.2429403854773644,0.8528368794326241
sequence,3,9168,0.2366507828454731,0.32755235602094246
V1,4,912,0.1693632567849687,0.4627192982456141
V2,4,2476,0.1295838483724763,0.8218901453957996
V3,4,3495,0.10495121069750632,0.8420600858369098
V4,4,3763,0.0966725733412089,0.854637257507308
V5,4,3596,0.10152791660716835,0.7513904338153504
V6,4,3534,0.10134666111342497,0.767402376910017
V7,4,3650,0.09728173540439207,0.561917808219178
V8,4,3139,0.09176283326701154,0.7977062758840395
V9,4,1159,0.06620861961274203,0.6488352027610009
V12,4,1482,0.13296011196641008,0.8178137651821862
V23,4,2305,0.1284323378186194,0.8789587852494577
V34,4,3736,0.09905149051490515,0.8776766595289079
V45,4,3631,0.10097332119599468,0.8661525750481961
V56,4,3693,0.09798910484901473,0.8689412401841321
V67,4,3444,0.10491039932270355,0.8368176538908246
V78,4,3212,0.09117647058823529,0.863013698630137
V89,4,1088,0.07507774322523322,0.8704044117647058
sequence,4,8425,0.07323734599970314,0.33899109792284865
