HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(1)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9897066392177046
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.9896093100581879,0.9930434782608696
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965517,0.9994614970382337
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216837,0.995085995085995
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9835907335907336
V1,1,462,0.5759162303664922,0.577922077922078
V2,1,1148,0.5080906148867314,0.6977351916376306
V3,1,1756,0.4035316254161239,0.7078587699316629
V4,1,1880,0.39199475065616796,0.5680851063829787
V5,1,1855,0.41678663979268643,0.6512129380053908
V6,1,1812,0.4149203688181056,0.6169977924944812
V7,1,1857,0.40088757396449703,0.5982767905223478
V8,1,1622,0.39791332263242374,0.5462392108508014
V9,1,593,0.3844221105527638,0.6408094435075885
V12,1,735,0.43854748603351956,0.4163265306122449
V23,1,1173,0.5296703296703297,0.7127024722932651
V34,1,1790,0.3876374363100027,0.6240223463687151
V45,1,1734,0.4137358072556079,0.5807381776239908
V56,1,1840,0.40209649240693457,0.5668478260869565
V67,1,1698,0.4176627759808747,0.5312131919905771
V78,1,1665,0.38790813935322604,0.5753753753753754
V89,1,537,0.3932683790965456,0.558659217877095
sequence,1,2058,0.37498499579882366,0.4791059280855199
V1,2,487,0.4716180371352785,0.5010266940451745
V2,2,1232,0.38497942386831274,0.5925324675324675
V3,2,1739,0.29410915391279235,0.5922944220816562
V4,2,1886,0.272655634357762,0.4294803817603393
V5,2,1814,0.2921139258623157,0.5628445424476296
V6,2,1798,0.2928053541550474,0.48665183537263623
V7,2,1840,0.2843150409231182,0.4798913043478261
V8,2,1581,0.27810556530059,0.47501581277672356
V9,2,609,0.23988195615514335,0.46798029556650245
V12,2,715,0.3484743411927878,0.34545454545454546
V23,2,1160,0.3822046898969976,0.5594827586206896
V34,2,1883,0.28228105906313644,0.5119490175252257
V45,2,1734,0.28800886181113267,0.45674740484429066
V56,2,1865,0.2820927723840345,0.4241286863270778
V67,2,1732,0.29786632753991804,0.4041570438799076
V78,2,1608,0.26649117373799935,0.48134328358208955
V89,2,548,0.24922118380062305,0.39963503649635035
sequence,2,2039,0.2675449101796407,0.35850907307503677
V1,3,480,0.4704016913319239,0.4625
V2,3,1232,0.37448559670781895,0.49431818181818177
V3,3,1732,0.28414827635944034,0.5184757505773672
V4,3,1896,0.26841136244082064,0.35917721518987344
V5,3,1727,0.2917726887192536,0.47423277359583094
V6,3,1693,0.2876185241170812,0.4134672179562906
V7,3,1894,0.2817948371401541,0.39440337909186907
V8,3,1586,0.26540057452920524,0.41424968474148804
V9,3,617,0.23223350253807107,0.39222042139384117
V12,3,745,0.350385423966363,0.28456375838926173
V23,3,1136,0.38739917157183346,0.4295774647887324
V34,3,1795,0.27264188917214544,0.44233983286908074
V45,3,1800,0.286472889882616,0.3894444444444445
V56,3,1890,0.27817616019483155,0.3925925925925926
V67,3,1755,0.293734051601928,0.3458689458689459
V78,3,1581,0.26522744795682346,0.37191650853889946
V89,3,602,0.24669402644778843,0.3504983388704319
sequence,3,2082,0.26375346093655955,0.303073967339097
V1,4,461,0.17425431711145997,0.23210412147505421
V2,4,1232,0.1257201646090535,0.2621753246753247
V3,4,1763,0.10185453491741524,0.33976176971072036
V4,4,1926,0.09677845260100343,0.23001038421599174
V5,4,1742,0.10242243943901402,0.35419058553386906
V6,4,1788,0.10470620996936786,0.2936241610738255
V7,4,1819,0.09753813219159754,0.31775700934579443
V8,4,1568,0.09388924252068746,0.2455357142857143
V9,4,610,0.06916912695065373,0.23770491803278693
V12,4,734,0.13054101221640488,0.1607629427792916
V23,4,1161,0.13064445418676018,0.2687338501291989
V34,4,1868,0.09769647696476964,0.2676659528907923
V45,4,1794,0.10011170064227869,0.23968784838350055
V56,4,1795,0.10165642532727759,0.2484679665738162
V67,4,1770,0.10228725671260122,0.2508474576271187
V78,4,1573,0.08840289542584322,0.2650985378258105
V89,4,548,0.07254116599910992,0.21715328467153283
sequence,4,2084,0.09524382901866346,0.1487523992322457
V1,5,505,0.0712372790573112,0.07722772277227719
V2,5,1199,0.0539546290619252,0.12010008340283573
V3,5,1729,0.037197231833910036,0.1440138808559861
V4,5,1967,0.03358555688304792,0.14082358922216576
V5,5,1727,0.03618886061634153,0.17776491024898666
V6,5,1792,0.03705767623293396,0.1266741071428571
V7,5,1839,0.03608800643949557,0.15008156606851553
V8,5,1597,0.03229416466826539,0.13462742642454606
V9,5,600,0.03359932801343973,0.1283333333333333
V12,5,714,0.04783362218370884,0.08823529411764708
V23,5,1136,0.050359712230215826,0.153169014084507
V34,5,1801,0.035316234725392776,0.15158245419211547
V45,5,1753,0.03776204359294738,0.13234455219623498
V56,5,1849,0.035252960172228204,0.13899405083829097
V67,5,1755,0.03813439183442019,0.12421652421652418
V78,5,1570,0.03278940886699507,0.11273885350318469
V89,5,562,0.03179579041648007,0.11387900355871883
sequence,5,2061,0.0335014409221902,0.13100436681222705
V1,6,509,0.0703166935050993,0.07072691552062871
V2,6,1268,0.05203150912106136,0.08753943217665616
V3,6,1684,0.03881965334479301,0.0944180522565321
V4,6,1906,0.03265736107453253,0.09076600209863583
V5,6,1782,0.03818207721897706,0.10044893378226716
V6,6,1790,0.03440111420612813,0.09553072625698322
