HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,k,Accuracy
V4,5,1967,0.03358555688304792,1,0.10421962379257754
V4,5,1967,0.03358555688304792,2,0.38332486019318757
V4,5,1967,0.03358555688304792,3,0.49618708693441793
V4,5,1967,0.03358555688304792,4,0.3512963904422979
V4,5,1967,0.03358555688304792,5,0.29079816980172857
