HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(5)
V1,0,479,1.0,1.0
V2,0,1246,1.0,1.0
V3,0,1748,1.0,1.0
V4,0,1901,0.9897354915120411,0.9963177275118359
V5,0,1781,1.0,1.0
V6,0,1830,1.0,1.0
V7,0,1866,1.0,1.0
V8,0,1566,1.0,1.0
V9,0,609,0.9898819561551433,0.9901477832512315
V12,0,767,1.0,1.0
V23,0,1169,1.0,1.0
V34,0,1885,1.0,1.0
V45,0,1828,1.0,1.0
V56,0,1830,0.9993289491343443,1.0
V67,0,1765,1.0,1.0
V78,0,1572,0.993994456421312,0.9949109414758269
V89,0,524,1.0,1.0
sequence,0,2055,0.9889608831293496,0.9995133819951338
V1,1,479,0.5868991019545695,0.6638830897703549
V2,1,1243,0.5159826768405857,0.8431214802896219
V3,1,1715,0.40575539568345326,0.8285714285714285
V4,1,1891,0.38993297410960703,0.8096245372818615
V5,1,1798,0.41953448522061976,0.8781979977753059
V6,1,1787,0.4083252123068356,0.7588136541689983
V7,1,1830,0.4007771673589709,0.7153005464480875
V8,1,1555,0.40003176115610606,0.8135048231511254
V9,1,621,0.3805084745762712,0.7681159420289855
V12,1,699,0.4437931034482759,0.844062947067239
V23,1,1157,0.5236530880420499,0.9178910976663786
V34,1,1867,0.3914103779975613,0.8778789501874665
V45,1,1798,0.41003073484213465,0.9032258064516129
V56,1,1854,0.40325838158071897,0.8878101402373247
V67,1,1724,0.4180663373323924,0.8723897911832946
V78,1,1557,0.3965278844676602,0.8041104688503533
V89,1,542,0.3985796715490457,0.8468634686346863
sequence,1,2087,0.37496988677427123,0.9381887877335888
V1,2,447,0.4841558441558442,0.6465324384787472
V2,2,1200,0.38348323793949307,0.7725
V3,2,1778,0.29170901698852914,0.7710911136107986
V4,2,1854,0.2775307350248496,0.7475728155339806
V5,2,1790,0.29510768791898445,0.7402234636871509
V6,2,1748,0.2927166989753531,0.7225400457665904
V7,2,1894,0.28382213812677387,0.6573389651531151
V8,2,1588,0.27522349936143037,0.7065491183879093
V9,2,605,0.23695286195286194,0.6380165289256199
V12,2,712,0.3588500173190163,0.6952247191011236
V23,2,1167,0.3931079894644425,0.8380462724935733
V34,2,1859,0.2833942346731628,0.8122646584185046
V45,2,1797,0.2912417935465847,0.8180300500834725
V56,2,1877,0.2787682333873582,0.7948854555141183
V67,2,1824,0.29749463135289905,0.7341008771929824
V78,2,1589,0.26910606762389994,0.7677784770295784
V89,2,546,0.2432192085371276,0.6556776556776557
sequence,2,2086,0.2655666626520535,0.909875359539789
V1,3,493,0.4773815859499734,0.5801217038539555
V2,3,1199,0.3735949315348457,0.572977481234362
V3,3,1759,0.2878656240949899,0.5884025014212622
V4,3,1834,0.2704148186798852,0.6161395856052345
V5,3,1741,0.288385269121813,0.6645605973578403
V6,3,1826,0.28653415453527437,0.5657174151150055
V7,3,1813,0.2822192513368984,0.6414782129067844
V8,3,1534,0.27033871478315924,0.5840938722294655
V9,3,610,0.23028258118937156,0.45737704918032784
V12,3,707,0.3454356846473029,0.538896746817539
V23,3,1089,0.389943892965041,0.6143250688705234
V34,3,1858,0.27374830852503385,0.6603875134553283
V45,3,1721,0.2866620594333103,0.6472980825101685
V56,3,1859,0.2770142818647265,0.6191500806885422
V67,3,1767,0.2898324339676228,0.5936615732880588
V78,3,1620,0.26186782500775674,0.6123456790123456
V89,3,543,0.23978685612788633,0.4880294659300184
sequence,3,2110,0.2613842251479647,0.818957345971564
V1,4,505,0.17514729512587038,0.27524752475247527
V2,4,1258,0.1280513032685147,0.37360890302066774
V3,4,1722,0.10154112055307504,0.5563298490127758
V4,4,1938,0.09415498545358371,0.42260061919504643
V5,4,1729,0.1016685520361991,0.5679583574320417
V6,4,1821,0.09847531123234018,0.414058209774849
V7,4,1845,0.0984156820622986,0.5859078590785908
V8,4,1532,0.09240506329113925,0.4921671018276762
V9,4,634,0.06945036216446528,0.49211356466876977
V12,4,696,0.1350327247674819,0.33764367816091956
V23,4,1213,0.12749445676274945,0.40230832646331405
V34,4,1834,0.09819260857836526,0.4269356597600873
V45,4,1840,0.10160202360876897,0.4521739130434783
V56,4,1824,0.09843100442537213,0.41831140350877194
V67,4,1814,0.10135811293781272,0.41455347298787215
V78,4,1616,0.09085271317829458,0.46287128712871284
V89,4,546,0.07203201422854602,0.30219780219780223
sequence,4,2061,0.09546109510086455,0.6700630761766133
V1,5,478,0.06916578669482576,0.15481171548117156
V2,5,1254,0.054981397271599834,0.1658692185007975
V3,5,1750,0.03571945046999277,0.44685714285714284
V4,5,1884,0.03243172268907563,0.29405520169851385
V5,5,1779,0.037453716889774995,0.46543001686340646
V6,5,1806,0.036711334450027916,0.23366555924695465
V7,5,1810,0.03461178671655753,0.4348066298342541
V8,5,1547,0.03505154639175258,0.3393665158371041
V9,5,604,0.0340765671013883,0.3509933774834437
V12,5,709,0.04636678200692042,0.13258110014104374
V23,5,1122,0.054988046076939794,0.160427807486631
V34,5,1863,0.03656059580230196,0.21524422973698332
V45,5,1796,0.03477653631284916,0.232739420935412
V56,5,1847,0.036588646758138284,0.22956145100162428
V67,5,1804,0.03754461099214847,0.23891352549889133
V78,5,1608,0.03081449365128523,0.27674129353233834
V89,5,602,0.03191974464204286,0.36046511627906974
sequence,5,2093,0.03363066538090646,0.30625895843287143
V1,6,484,0.07309322033898305,0.11363636363636365
V2,6,1217,0.05374358974358975,0.12161051766639275
V3,6,1736,0.03564727954971857,0.2678571428571429
V4,6,1874,0.03396275898242854,0.15474919957310562
V5,6,1769,0.03896473265073948,0.323911814584511
