HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(5)
V2,0,1223,1.0,1.0
V3,0,1720,1.0,1.0
V4,0,1887,0.9979421221864951,0.9989401165871754
V5,0,1523,1.0,1.0
V6,0,24,1.0,1.0
V7,0,1005,1.0,1.0
V8,0,734,1.0,1.0
V2,1,1218,0.5141266240461951,0.8243021346469622
V3,1,1701,0.4114161849710983,0.8306878306878307
V4,1,1946,0.38608087091757387,0.7219938335046249
V5,1,1518,0.445060164661178,0.8965744400527009
V6,1,33,0.991304347826087,1.0
V7,1,975,0.46308724832214765,0.8225641025641026
V8,1,649,0.5242652084757348,0.6224961479198767
V2,2,1197,0.3811088295687885,0.7794486215538847
V3,2,1714,0.2933256116982771,0.7742123687281214
V4,2,1977,0.27208848405985686,0.7172483560950935
V5,2,1590,0.32110826393337605,0.7566037735849056
V6,2,30,1.0,0.9666666666666667
V7,2,1013,0.3129234629861982,0.7897334649555775
V8,2,696,0.17193469954845433,0.6422413793103448
V2,3,1190,0.3787164240311667,0.5739495798319327
V3,3,1672,0.2869477622679522,0.6190191387559809
V4,3,1911,0.2687395174816153,0.5536368393511251
V5,3,1551,0.31497692185261816,0.6756931012250161
V6,3,28,0.5833333333333334,0.8571428571428572
V7,3,933,0.3023370233702337,0.7213290460878885
V8,3,749,0.07466383581033263,0.5527369826435247
V2,4,1235,0.12665562913907286,0.37489878542510124
V3,4,1716,0.10267921795800145,0.5641025641025641
V4,4,1913,0.09639953542392567,0.46314688970203866
V5,4,1525,0.11459819305753685,0.5822950819672131
V6,4,24,0.5645161290322581,0.6666666666666667
V7,4,997,0.1422144463884029,0.6489468405215647
V8,4,713,0.03494060097833683,0.5245441795231416
V2,5,1135,0.054339010543390104,0.1674008810572687
V3,5,1730,0.03729502249310695,0.41676300578034686
V4,5,1953,0.03437540537034635,0.27291346646185355
V5,5,1635,0.042103565091143734,0.48440366972477067
V6,5,30,0.1016949152542373,0.30000000000000004
V7,5,984,0.037120079720976584,0.46036585365853655
V8,5,710,0.014659685863874346,0.4211267605633803
V2,6,1222,0.05345717234262126,0.13011456628477902
V3,6,1717,0.03635573580533024,0.2533488642981945
V4,6,1932,0.033764553686934026,0.16925465838509313
V5,6,1560,0.04144086707044947,0.30833333333333335
V6,6,27,0.024793388429752067,0.0
V7,6,1052,0.03725291434363913,0.2756653992395437
V8,6,732,0.012310939148786493,0.21584699453551914
