HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1)
V2,0,1223,1.0,1.0
V3,0,1720,1.0,1.0
V4,0,1887,0.9979421221864951,0.9989401165871754
V5,0,1523,1.0,1.0
V6,0,24,1.0,1.0
V7,0,1005,1.0,1.0
V8,0,734,1.0,1.0
V2,1,1218,0.5141266240461951,0.6420361247947455
V3,1,1701,0.4114161849710983,0.5873015873015873
V4,1,1946,0.38608087091757387,0.4886947584789312
V5,1,1518,0.445060164661178,0.5177865612648221
V6,1,33,0.991304347826087,1.0
V7,1,975,0.46308724832214765,0.5507692307692308
V8,1,649,0.5242652084757348,0.5331278890600925
V2,2,1197,0.3811088295687885,0.49624060150375937
V3,2,1714,0.2933256116982771,0.4422403733955659
V4,2,1977,0.27208848405985686,0.33535660091047037
V5,2,1590,0.32110826393337605,0.4345911949685535
V6,2,30,1.0,0.9666666666666667
V7,2,1013,0.3129234629861982,0.4442250740375123
V8,2,696,0.17193469954845433,0.3390804597701149
V2,3,1190,0.3787164240311667,0.42268907563025215
V3,3,1672,0.2869477622679522,0.3708133971291866
V4,3,1911,0.2687395174816153,0.30350601779173203
V5,3,1551,0.31497692185261816,0.379110251450677
V6,3,28,0.5833333333333334,0.5714285714285714
V7,3,933,0.3023370233702337,0.34083601286173637
V8,3,749,0.07466383581033263,0.18825100133511352
V2,4,1235,0.12665562913907286,0.23805668016194337
V3,4,1716,0.10267921795800145,0.22027972027972031
V4,4,1913,0.09639953542392567,0.18714061683220073
V5,4,1525,0.11459819305753685,0.22491803278688527
V6,4,24,0.5645161290322581,0.375
V7,4,997,0.1422144463884029,0.1664994984954865
V8,4,713,0.03494060097833683,0.14446002805049085
V2,5,1135,0.054339010543390104,0.11189427312775335
V3,5,1730,0.03729502249310695,0.08959537572254339
V4,5,1953,0.03437540537034635,0.08192524321556582
V5,5,1635,0.042103565091143734,0.0899082568807339
V6,5,30,0.1016949152542373,0.1333333333333333
V7,5,984,0.037120079720976584,0.06402439024390238
V8,5,710,0.014659685863874346,0.09014084507042253
V2,6,1222,0.05345717234262126,0.07855973813420625
V3,6,1717,0.03635573580533024,0.06057076295864883
V4,6,1932,0.033764553686934026,0.05124223602484468
V5,6,1560,0.04144086707044947,0.0525641025641026
V6,6,27,0.024793388429752067,0.0
V7,6,1052,0.03725291434363913,0.03612167300380231
V8,6,732,0.012310939148786493,0.03415300546448086
