HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(2)
V2,0,1223,1.0,1.0
V3,0,1720,1.0,1.0
V4,0,1887,0.9979421221864951,0.9984101748807631
V5,0,1523,1.0,1.0
V6,0,24,1.0,1.0
V7,0,1005,1.0,1.0
V8,0,734,1.0,1.0
V2,1,1218,0.5141266240461951,0.7733990147783252
V3,1,1701,0.4114161849710983,0.7454438565549677
V4,1,1946,0.38608087091757387,0.6654676258992807
V5,1,1518,0.445060164661178,0.7213438735177866
V6,1,33,0.991304347826087,1.0
V7,1,975,0.46308724832214765,0.762051282051282
V8,1,649,0.5242652084757348,0.6440677966101696
V2,2,1197,0.3811088295687885,0.7017543859649122
V3,2,1714,0.2933256116982771,0.6925320886814469
V4,2,1977,0.27208848405985686,0.6130500758725341
V5,2,1590,0.32110826393337605,0.689308176100629
V6,2,30,1.0,0.9666666666666667
V7,2,1013,0.3129234629861982,0.7097729516288253
V8,2,696,0.17193469954845433,0.6163793103448276
V2,3,1190,0.3787164240311667,0.6260504201680672
V3,3,1672,0.2869477622679522,0.6327751196172249
V4,3,1911,0.2687395174816153,0.5552066980638409
V5,3,1551,0.31497692185261816,0.6363636363636364
V6,3,28,0.5833333333333334,0.6785714285714286
V7,3,933,0.3023370233702337,0.6420150053590568
V8,3,749,0.07466383581033263,0.4993324432576769
V2,4,1235,0.12665562913907286,0.5093117408906882
V3,4,1716,0.10267921795800145,0.5623543123543124
V4,4,1913,0.09639953542392567,0.5013068478829064
V5,4,1525,0.11459819305753685,0.5501639344262295
V6,4,24,0.5645161290322581,0.625
V7,4,997,0.1422144463884029,0.5506519558676028
V8,4,713,0.03494060097833683,0.4516129032258065
V2,5,1135,0.054339010543390104,0.31894273127753303
V3,5,1730,0.03729502249310695,0.3872832369942196
V4,5,1953,0.03437540537034635,0.36610343061955963
V5,5,1635,0.042103565091143734,0.3749235474006116
V6,5,30,0.1016949152542373,0.23333333333333328
V7,5,984,0.037120079720976584,0.3719512195121951
V8,5,710,0.014659685863874346,0.29154929577464783
V2,6,1222,0.05345717234262126,0.20458265139116205
V3,6,1717,0.03635573580533024,0.2294700058241118
V4,6,1932,0.033764553686934026,0.24430641821946175
V5,6,1560,0.04144086707044947,0.2564102564102564
V6,6,27,0.024793388429752067,0.0
V7,6,1052,0.03725291434363913,0.19106463878326996
V8,6,732,0.012310939148786493,0.13251366120218577
