HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(3)
V8,6,1615,0.03270803270803271,0.15046439628482977
V9,6,611,0.015611814345991562,0.09001636661211132
V12,6,719,0.043402777777777776,0.13908205841446453
V23,6,1129,0.052242054854157595,0.1975199291408326
V34,6,1873,0.03552542372881356,0.191671115856914
V45,6,1775,0.0362066564545328,0.18197183098591552
V56,6,1871,0.03427800269905533,0.1678246926777125
V67,6,1763,0.037042293499858076,0.14237095859330684
V78,6,1635,0.03218784014927694,0.13577981651376148
V89,6,574,0.01891040072039622,0.05574912891986061
sequence,6,2114,0.03492447129909366,0.152317880794702
