HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(4)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,0.999741468459152
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,0.9916123019571296
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,1.0
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,1.0
V89,0,1101,1.0,1.0
sequence,0,9549,0.9777547440599585,0.9060634621426328
V1,1,911,0.5789199060787895,0.686059275521405
V2,1,2363,0.5091131249363609,0.917054591620821
V3,1,3433,0.4060588616248111,0.8782406058840664
V4,1,3742,0.3860925416175121,0.9163548904329235
V5,1,3502,0.4187943262411348,0.7712735579668761
V6,1,3643,0.40931663985451494,0.850123524567664
V7,1,3701,0.39711118575747395,0.45663334233990815
V8,1,3104,0.4037301587301587,0.742590206185567
V9,1,1186,0.3833752093802345,0.6880269814502529
V12,1,1427,0.4399584127534223,0.925718290119131
V23,1,2266,0.5259259259259259,0.9571932921447485
V34,1,3729,0.38938172953206474,0.9533386967015286
V45,1,3696,0.4144625773776027,0.9531926406926406
V56,1,3637,0.40113902847571187,0.9474841902667033
V67,1,3517,0.4127366853414651,0.938015353994882
V78,1,3172,0.39112654320987655,0.862547288776797
V89,1,1122,0.39905998209489707,0.9322638146167558
sequence,1,9351,0.32526647094607103,0.4214522510961395
V1,2,908,0.4859228362877998,0.7588105726872247
V2,2,2531,0.3833005283331607,0.9241406558672461
V3,2,3447,0.28805013325650075,0.8909196402668987
V4,2,3841,0.2742924995052444,0.9330903410570164
V5,2,3555,0.2935146294582473,0.8447257383966245
V6,2,3593,0.29358053948560675,0.8196493181185639
V7,2,3711,0.28652100840336137,0.5332794395041768
V8,2,3182,0.278789330777831,0.7404148334380892
V9,2,1147,0.23447559709241952,0.7462946817785527
V12,2,1423,0.3471861471861472,0.9458889669711876
V23,2,2254,0.38870757180156656,0.9782608695652174
V34,2,3829,0.28131178836844617,0.9524680073126143
V45,2,3556,0.2917943716912789,0.9513498312710911
V56,2,3664,0.2819170358437374,0.9295851528384279
V67,2,3564,0.2955030596271524,0.9225589225589226
V78,2,3228,0.2671264724116553,0.8937422552664188
V89,2,1145,0.25241844769403826,0.9056768558951965
sequence,2,9479,0.23759763282062218,0.40816541829306885
V1,3,913,0.4792482380579483,0.8105147864184009
V2,3,2470,0.3792464484249537,0.8672064777327935
V3,3,3417,0.28369151153597355,0.8577699736611062
V4,3,3722,0.27130514465244143,0.8584094572810317
V5,3,3546,0.2896983494593056,0.8116187253243091
V6,3,3654,0.2852442951140977,0.7531472359058566
V7,3,3705,0.2804919024259122,0.5743589743589743
V8,3,3160,0.2671396683673469,0.7768987341772152
V9,3,1200,0.2255354892902142,0.7116666666666667
V12,3,1425,0.3473064264680409,0.9052631578947369
V23,3,2245,0.3848494728833822,0.9349665924276169
V34,3,3662,0.2730888499393286,0.937192790824686
V45,3,3654,0.2837003787347454,0.9304871373836892
V56,3,3755,0.27817923954886203,0.9019973368841545
V67,3,3580,0.2904259866077789,0.8918994413407821
V78,3,3335,0.2620145346565601,0.8833583208395802
V89,3,1128,0.2429403854773644,0.8785460992907801
sequence,3,9168,0.2366507828454731,0.3799083769633508
V1,4,912,0.1693632567849687,0.6074561403508771
V2,4,2476,0.1295838483724763,0.8647011308562197
V3,4,3495,0.10495121069750632,0.8108726752503577
V4,4,3763,0.0966725733412089,0.8612808929045974
V5,4,3596,0.10152791660716835,0.7452725250278087
V6,4,3534,0.10134666111342497,0.7314657611771365
V7,4,3650,0.09728173540439207,0.6504109589041096
V8,4,3139,0.09176283326701154,0.810767760433259
V9,4,1159,0.06620861961274203,0.7610008628127696
V12,4,1482,0.13296011196641008,0.8717948717948718
V23,4,2305,0.1284323378186194,0.911062906724512
V34,4,3736,0.09905149051490515,0.9103319057815846
V45,4,3631,0.10097332119599468,0.8958964472597081
V56,4,3693,0.09798910484901473,0.875981586785811
V67,4,3444,0.10491039932270355,0.8658536585365854
V78,4,3212,0.09117647058823529,0.8757783312577834
V89,4,1088,0.07507774322523322,0.8547794117647058
sequence,4,8425,0.07323734599970314,0.4324035608308605
