HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(2)
V8,6,1615,0.03270803270803271,0.0854489164086687
V9,6,611,0.015611814345991562,0.04582651391162029
V12,6,719,0.043402777777777776,0.10292072322670376
V23,6,1129,0.052242054854157595,0.10717449069973428
V34,6,1873,0.03552542372881356,0.08809396689802451
V45,6,1775,0.0362066564545328,0.09746478873239439
V56,6,1871,0.03427800269905533,0.09032602886157137
V67,6,1763,0.037042293499858076,0.10323312535450935
V78,6,1635,0.03218784014927694,0.08868501529051986
V89,6,574,0.01891040072039622,0.026132404181184676
sequence,6,2114,0.03492447129909366,0.08987701040681173
