HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(2)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,1.0
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.9896093100581879,0.9965217391304347
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965517,0.9994614970382337
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216837,0.9963144963144963
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9913127413127413
V1,1,462,0.5759162303664922,0.696969696969697
V2,1,1148,0.5080906148867314,0.759581881533101
V3,1,1756,0.4035316254161239,0.7608200455580866
V4,1,1880,0.39199475065616796,0.6617021276595745
V5,1,1855,0.41678663979268643,0.7795148247978436
V6,1,1812,0.4149203688181056,0.7323399558498896
V7,1,1857,0.40088757396449703,0.7248249865374259
V8,1,1622,0.39791332263242374,0.7330456226880395
V9,1,593,0.3844221105527638,0.7571669477234402
V12,1,735,0.43854748603351956,0.5945578231292517
V23,1,1173,0.5296703296703297,0.7800511508951407
V34,1,1790,0.3876374363100027,0.7396648044692737
V45,1,1734,0.4137358072556079,0.7076124567474049
V56,1,1840,0.40209649240693457,0.7423913043478261
V67,1,1698,0.4176627759808747,0.7084805653710247
V78,1,1665,0.38790813935322604,0.7063063063063063
V89,1,537,0.3932683790965456,0.7188081936685289
sequence,1,2058,0.37498499579882366,0.6370262390670554
V1,2,487,0.4716180371352785,0.6139630390143738
V2,2,1232,0.38497942386831274,0.648538961038961
V3,2,1739,0.29410915391279235,0.6848763657274295
V4,2,1886,0.272655634357762,0.5837751855779427
V5,2,1814,0.2921139258623157,0.6868798235942668
V6,2,1798,0.2928053541550474,0.6162402669632925
V7,2,1840,0.2843150409231182,0.6853260869565218
V8,2,1581,0.27810556530059,0.6350411132194813
V9,2,609,0.23988195615514335,0.6174055829228243
V12,2,715,0.3484743411927878,0.5188811188811189
V23,2,1160,0.3822046898969976,0.6448275862068966
V34,2,1883,0.28228105906313644,0.6314391927774827
V45,2,1734,0.28800886181113267,0.5963091118800461
V56,2,1865,0.2820927723840345,0.6707774798927614
V67,2,1732,0.29786632753991804,0.5739030023094689
V78,2,1608,0.26649117373799935,0.6094527363184079
V89,2,548,0.24922118380062305,0.5583941605839415
sequence,2,2039,0.2675449101796407,0.5183913683178029
V1,3,480,0.4704016913319239,0.5208333333333333
V2,3,1232,0.37448559670781895,0.5535714285714286
V3,3,1732,0.28414827635944034,0.6212471131639723
V4,3,1896,0.26841136244082064,0.5226793248945147
V5,3,1727,0.2917726887192536,0.6409959467284307
V6,3,1693,0.2876185241170812,0.5262847017129356
V7,3,1894,0.2817948371401541,0.5960929250263991
V8,3,1586,0.26540057452920524,0.5662042875157629
V9,3,617,0.23223350253807107,0.5040518638573743
V12,3,745,0.350385423966363,0.4738255033557047
V23,3,1136,0.38739917157183346,0.5237676056338028
V34,3,1795,0.27264188917214544,0.5827298050139276
V45,3,1800,0.286472889882616,0.5449999999999999
V56,3,1890,0.27817616019483155,0.5560846560846561
V67,3,1755,0.293734051601928,0.49287749287749283
V78,3,1581,0.26522744795682346,0.5294117647058824
V89,3,602,0.24669402644778843,0.4767441860465116
sequence,3,2082,0.26375346093655955,0.4582132564841499
V1,4,461,0.17425431711145997,0.297180043383948
V2,4,1232,0.1257201646090535,0.3790584415584416
V3,4,1763,0.10185453491741524,0.48099829835507657
V4,4,1926,0.09677845260100343,0.40394600207684317
V5,4,1742,0.10242243943901402,0.5367393800229621
V6,4,1788,0.10470620996936786,0.4105145413870246
V7,4,1819,0.09753813219159754,0.5244639912039581
V8,4,1568,0.09388924252068746,0.41836734693877553
V9,4,610,0.06916912695065373,0.38524590163934425
V12,4,734,0.13054101221640488,0.31607629427792916
V23,4,1161,0.13064445418676018,0.4125753660637381
V34,4,1868,0.09769647696476964,0.4266595289079229
V45,4,1794,0.10011170064227869,0.4057971014492754
V56,4,1795,0.10165642532727759,0.43621169916434543
V67,4,1770,0.10228725671260122,0.36101694915254234
V78,4,1573,0.08840289542584322,0.4100445009535919
V89,4,548,0.07254116599910992,0.3667883211678832
sequence,4,2084,0.09524382901866346,0.3397312859884837
V1,5,505,0.0712372790573112,0.1089108910891089
V2,5,1199,0.0539546290619252,0.1534612176814012
V3,5,1729,0.037197231833910036,0.18970503181029497
V4,5,1967,0.03358555688304792,0.1525165226232842
V5,5,1727,0.03618886061634153,0.19918934568616098
V6,5,1792,0.03705767623293396,0.1584821428571429
V7,5,1839,0.03608800643949557,0.16530723219140842
V8,5,1597,0.03229416466826539,0.1621790857858485
V9,5,600,0.03359932801343973,0.1433333333333333
V12,5,714,0.04783362218370884,0.1470588235294118
V23,5,1136,0.050359712230215826,0.1875
V34,5,1801,0.035316234725392776,0.1571349250416435
V45,5,1753,0.03776204359294738,0.15116942384483745
V56,5,1849,0.035252960172228204,0.16224986479177939
V67,5,1755,0.03813439183442019,0.15726495726495726
V78,5,1570,0.03278940886699507,0.16369426751592353
V89,5,562,0.03179579041648007,0.13345195729537362
sequence,5,2061,0.0335014409221902,0.1377971858321203
V1,6,509,0.0703166935050993,0.09430255402750487
V2,6,1268,0.05203150912106136,0.10567823343848581
V3,6,1684,0.03881965334479301,0.12114014251781469
V4,6,1906,0.03265736107453253,0.09391395592864638
V5,6,1782,0.03818207721897706,0.12065095398428727
V6,6,1790,0.03440111420612813,0.09553072625698322
V7,6,1803,0.035914552736982644,0.10870770937326679
