HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V8,4,1568,0.09388924252068746,0.16772959183673475,0.5102040816326531,0.6945153061224489,0.5446428571428572,0.46683673469387754
V9,4,610,0.06916912695065373,0.12950819672131153,0.440983606557377,0.4147540983606557,0.34918032786885245,0.48852459016393446
V12,4,734,0.13054101221640488,0.1634877384196185,0.4250681198910081,0.6416893732970027,0.6076294277929155,0.3828337874659401
V23,4,1161,0.13064445418676018,0.2558139534883721,0.5486649440137812,0.7416020671834626,0.6666666666666667,0.4108527131782945
V34,4,1868,0.09769647696476964,0.20663811563169165,0.5626338329764453,0.7826552462526767,0.7093147751605996,0.42880085653104927
V45,4,1794,0.10011170064227869,0.2240802675585284,0.5412486064659978,0.7814938684503902,0.7201783723522854,0.4665551839464883
V56,4,1795,0.10165642532727759,0.17437325905292478,0.5738161559888579,0.7598885793871866,0.6534818941504179,0.41504178272980496
V67,4,1770,0.10228725671260122,0.1971751412429379,0.4728813559322034,0.7169491525423729,0.6022598870056497,0.41073446327683616
V78,4,1573,0.08840289542584322,0.19643992371265095,0.5028607755880483,0.7361729179910999,0.6287349014621741,0.45136681500317866
V89,4,548,0.07254116599910992,0.17883211678832112,0.48357664233576647,0.6021897810218978,0.4470802919708029,0.34306569343065696
sequence,4,2084,0.09524382901866346,0.17706333973128596,0.4664107485604606,0.7480806142034548,0.8363723608445297,0.6732245681381958
V1,5,505,0.0712372790573112,0.06336633663366331,0.19999999999999996,0.1425742574257426,0.12079207920792079,0.14653465346534655
V2,5,1199,0.0539546290619252,0.10842368640533773,0.32360300250208507,0.41117597998331945,0.28190158465387827,0.1592994161801501
V3,5,1729,0.037197231833910036,0.11104684788895314,0.3689994216310005,0.44881434355118566,0.31174089068825916,0.43146327356853675
V4,5,1967,0.03358555688304792,0.10421962379257754,0.38332486019318757,0.49618708693441793,0.3512963904422979,0.29079816980172857
V5,5,1727,0.03618886061634153,0.07469600463231041,0.36421540243196293,0.4198031268094963,0.3514765489287782,0.4794441227562247
V6,5,1792,0.03705767623293396,0.0686383928571429,0.3035714285714286,0.3850446428571429,0.2762276785714286,0.2533482142857143
V7,5,1839,0.03608800643949557,0.055464926590538366,0.31973898858075045,0.32408917890157696,0.30995106035889075,0.4007612833061447
V8,5,1597,0.03229416466826539,0.07701941139636814,0.3731997495303695,0.44395742016280526,0.29805886036318097,0.34502191609267374
V9,5,600,0.03359932801343973,0.07666666666666666,0.2483333333333333,0.2583333333333333,0.24,0.3533333333333334
V12,5,714,0.04783362218370884,0.08263305322128855,0.2633053221288515,0.365546218487395,0.28431372549019607,0.12745098039215685
V23,5,1136,0.050359712230215826,0.13556338028169013,0.3688380281690141,0.471830985915493,0.3609154929577465,0.18661971830985913
V34,5,1801,0.035316234725392776,0.12382009994447529,0.390893947806774,0.5174902831760133,0.4025541365907829,0.2337590227651305
V45,5,1753,0.03776204359294738,0.10667427267541363,0.39132915002852253,0.5156873930405019,0.3725042783799202,0.2224757558471192
V56,5,1849,0.035252960172228204,0.09951325040562464,0.37587885343428884,0.48025959978366684,0.3158464034613304,0.22120064899945913
V67,5,1755,0.03813439183442019,0.09002849002849,0.33618233618233617,0.4683760683760684,0.32022792022792024,0.2188034188034188
V78,5,1570,0.03278940886699507,0.09044585987261144,0.3528662420382166,0.46178343949044587,0.3006369426751593,0.29490445859872616
V89,5,562,0.03179579041648007,0.11921708185053381,0.30604982206405695,0.3220640569395018,0.2295373665480427,0.3825622775800712
sequence,5,2061,0.0335014409221902,0.11596312469674919,0.3260553129548762,0.5201358563803979,0.5356622998544396,0.2993692382338671
V1,6,509,0.0703166935050993,0.03929273084479368,0.13163064833005889,0.10609037328094306,0.08055009823182713,0.12377210216110024
V2,6,1268,0.05203150912106136,0.06861198738170349,0.19006309148264988,0.26813880126182965,0.19558359621451105,0.10962145110410093
V3,6,1684,0.03881965334479301,0.06710213776722085,0.2434679334916865,0.2695961995249406,0.19714964370546317,0.2725653206650831
V4,6,1906,0.03265736107453253,0.05718782791185728,0.220881427072403,0.28961175236096537,0.19884575026232953,0.1636935991605456
V5,6,1782,0.03818207721897706,0.04938271604938271,0.24410774410774416,0.27328843995510665,0.22278338945005616,0.31200897867564537
V6,6,1790,0.03440111420612813,0.045810055865921795,0.2072625698324022,0.25418994413407825,0.1692737430167598,0.17765363128491618
V7,6,1803,0.035914552736982644,0.030504714364947283,0.19356627842484753,0.2224070992789795,0.21797004991680535,0.2795341098169717
V8,6,1615,0.03270803270803271,0.048916408668730704,0.18513931888544888,0.2445820433436533,0.1578947368421053,0.17337461300309598
V9,6,611,0.015611814345991562,0.04255319148936165,0.1211129296235679,0.10801963993453356,0.11620294599018,0.14893617021276595
V12,6,719,0.043402777777777776,0.06954102920723226,0.17107093184979139,0.25591098748261476,0.18497913769123786,0.09318497913769119
V23,6,1129,0.052242054854157595,0.07971656333038091,0.20814880425155002,0.3038086802480071,0.2090345438441098,0.12754650132860934
V34,6,1873,0.03552542372881356,0.07474639615589962,0.24399359316604374,0.3171382808328884,0.23117992525360387,0.13347570742124937
V45,6,1775,0.0362066564545328,0.08901408450704229,0.24225352112676057,0.3290140845070423,0.23605633802816905,0.1538028169014084
V56,6,1871,0.03427800269905533,0.06467129877071087,0.222340994120791,0.29716729021913413,0.1966862640299305,0.142169962586852
V67,6,1763,0.037042293499858076,0.055587067498582,0.21837776517300056,0.30686330119115146,0.20533182076006806,0.15201361315938744
V78,6,1635,0.03218784014927694,0.06666666666666665,0.19571865443425074,0.2740061162079511,0.1730886850152905,0.15535168195718652
V89,6,574,0.01891040072039622,0.05052264808362372,0.12020905923344949,0.14111498257839716,0.06794425087108014,0.1480836236933798
sequence,6,2114,0.03492447129909366,0.06575212866603597,0.20624408703878905,0.34247871333964053,0.36092715231788075,0.20293282876064334
