HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(4)
V1,0,479,1.0,1.0
V2,0,1246,1.0,1.0
V3,0,1748,1.0,1.0
V4,0,1901,0.9897354915120411,0.9989479221462388
V5,0,1781,1.0,1.0
V6,0,1830,1.0,1.0
V7,0,1866,1.0,1.0
V8,0,1566,1.0,1.0
V9,0,609,0.9898819561551433,0.9917898193760263
V12,0,767,1.0,1.0
V23,0,1169,1.0,1.0
V34,0,1885,1.0,1.0
V45,0,1828,1.0,1.0
V56,0,1830,0.9993289491343443,1.0
V67,0,1765,1.0,1.0
V78,0,1572,0.993994456421312,1.0
V89,0,524,1.0,1.0
sequence,0,2055,0.9889608831293496,0.9990267639902677
V1,1,479,0.5868991019545695,0.6951983298538622
V2,1,1243,0.5159826768405857,0.8865647626709574
V3,1,1715,0.40575539568345326,0.8221574344023324
V4,1,1891,0.38993297410960703,0.878900052882073
V5,1,1798,0.41953448522061976,0.7519466073414905
V6,1,1787,0.4083252123068356,0.774482372691662
V7,1,1830,0.4007771673589709,0.4005464480874317
V8,1,1555,0.40003176115610606,0.7543408360128617
V9,1,621,0.3805084745762712,0.6666666666666667
V12,1,699,0.4437931034482759,0.8984263233190272
V23,1,1157,0.5236530880420499,0.9351771823681936
V34,1,1867,0.3914103779975613,0.922335297268345
V45,1,1798,0.41003073484213465,0.932146829810901
V56,1,1854,0.40325838158071897,0.9115426105717368
V67,1,1724,0.4180663373323924,0.9118329466357309
V78,1,1557,0.3965278844676602,0.8259473346178549
V89,1,542,0.3985796715490457,0.8690036900369004
sequence,1,2087,0.37496988677427123,0.9123143267848587
V1,2,447,0.4841558441558442,0.5950782997762863
V2,2,1200,0.38348323793949307,0.8658333333333333
V3,2,1778,0.29170901698852914,0.8329583802024747
V4,2,1854,0.2775307350248496,0.8646170442286947
V5,2,1790,0.29510768791898445,0.7731843575418994
V6,2,1748,0.2927166989753531,0.7740274599542334
V7,2,1894,0.28382213812677387,0.4820485744456178
V8,2,1588,0.27522349936143037,0.714735516372796
V9,2,605,0.23695286195286194,0.6413223140495867
V12,2,712,0.3588500173190163,0.8553370786516854
V23,2,1167,0.3931079894644425,0.9305912596401028
V34,2,1859,0.2833942346731628,0.9220010758472297
V45,2,1797,0.2912417935465847,0.9126321647189761
V56,2,1877,0.2787682333873582,0.8758657432072456
V67,2,1824,0.29749463135289905,0.8558114035087719
V78,2,1589,0.26910606762389994,0.8445563247325362
V89,2,546,0.2432192085371276,0.8461538461538461
sequence,2,2086,0.2655666626520535,0.9261744966442953
V1,3,493,0.4773815859499734,0.5983772819472617
V2,3,1199,0.3735949315348457,0.7214345287739783
V3,3,1759,0.2878656240949899,0.72484366117112
V4,3,1834,0.2704148186798852,0.7295528898582333
V5,3,1741,0.288385269121813,0.6875358989086732
V6,3,1826,0.28653415453527437,0.628696604600219
V7,3,1813,0.2822192513368984,0.47049089906232766
V8,3,1534,0.27033871478315924,0.6355932203389831
V9,3,610,0.23028258118937156,0.4770491803278688
V12,3,707,0.3454356846473029,0.727015558698727
V23,3,1089,0.389943892965041,0.8181818181818181
V34,3,1858,0.27374830852503385,0.8466092572658773
V45,3,1721,0.2866620594333103,0.8187100522951772
V56,3,1859,0.2770142818647265,0.7767616998386229
V67,3,1767,0.2898324339676228,0.7447651386530842
V78,3,1620,0.26186782500775674,0.7358024691358025
V89,3,543,0.23978685612788633,0.6519337016574586
sequence,3,2110,0.2613842251479647,0.8895734597156398
V1,4,505,0.17514729512587038,0.22574257425742572
V2,4,1258,0.1280513032685147,0.6009538950715421
V3,4,1722,0.10154112055307504,0.5481997677119628
V4,4,1938,0.09415498545358371,0.6150670794633644
V5,4,1729,0.1016685520361991,0.5349913244650086
V6,4,1821,0.09847531123234018,0.49697968149368477
V7,4,1845,0.0984156820622986,0.4417344173441734
V8,4,1532,0.09240506329113925,0.5535248041775457
V9,4,634,0.06945036216446528,0.4116719242902208
V12,4,696,0.1350327247674819,0.5775862068965517
V23,4,1213,0.12749445676274945,0.6933223413025557
V34,4,1834,0.09819260857836526,0.7268266085059978
V45,4,1840,0.10160202360876897,0.7293478260869566
V56,4,1824,0.09843100442537213,0.6513157894736843
V67,4,1814,0.10135811293781272,0.615766262403528
V78,4,1616,0.09085271317829458,0.6417079207920793
V89,4,546,0.07203201422854602,0.44688644688644685
sequence,4,2061,0.09546109510086455,0.8384279475982532
V1,5,478,0.06916578669482576,0.13179916317991636
V2,5,1254,0.054981397271599834,0.27511961722488043
V3,5,1750,0.03571945046999277,0.33485714285714285
V4,5,1884,0.03243172268907563,0.3428874734607219
V5,5,1779,0.037453716889774995,0.3591905564924115
V6,5,1806,0.036711334450027916,0.2397563676633444
V7,5,1810,0.03461178671655753,0.3475138121546961
V8,5,1547,0.03505154639175258,0.30316742081447967
V9,5,604,0.0340765671013883,0.23841059602649006
V12,5,709,0.04636678200692042,0.2778561354019746
V23,5,1122,0.054988046076939794,0.3475935828877005
V34,5,1863,0.03656059580230196,0.38432635534084814
V45,5,1796,0.03477653631284916,0.3825167037861915
V56,5,1847,0.036588646758138284,0.3416350839198701
V67,5,1804,0.03754461099214847,0.3215077605321508
V78,5,1608,0.03081449365128523,0.3078358208955224
V89,5,602,0.03191974464204286,0.23421926910299007
sequence,5,2093,0.03363066538090646,0.5547061634018156
V1,6,484,0.07309322033898305,0.08884297520661155
V2,6,1217,0.05374358974358975,0.17830731306491376
V3,6,1736,0.03564727954971857,0.20218894009216593
V4,6,1874,0.03396275898242854,0.20490928495197436
V5,6,1769,0.03896473265073948,0.23855285472018084
