HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(4)
V6,6,1791,0.03579885777963505,0.1580122836404243
V7,6,1844,0.03597798362196268,0.20173535791757047
V8,6,1544,0.03313253012048193,0.17551813471502586
V9,6,607,0.017270429654591406,0.10049423393739698
V12,6,729,0.0445993031358885,0.19753086419753085
V23,6,1165,0.05221588415971917,0.215450643776824
V34,6,1849,0.034734423570752807,0.2563547863710114
V45,6,1799,0.03632807042056728,0.23513062812673713
V56,6,1907,0.03498779495524817,0.18720503408495015
V67,6,1782,0.036715525828945494,0.20426487093153756
V78,6,1518,0.03344532681734881,0.17457180500658764
V89,6,575,0.01891891891891892,0.07478260869565212
sequence,6,2111,0.03515341870016912,0.33491236380862155
