HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,k,Accuracy
V4,5,1950,0.033112582781456956,1,0.10307692307692307
V4,5,1950,0.033112582781456956,2,0.3902564102564102
V4,5,1950,0.033112582781456956,3,0.52
V4,5,1950,0.033112582781456956,4,0.34820512820512817
V4,5,1950,0.033112582781456956,5,0.2876923076923077
