HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(2)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,0.9894002068252327
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,0.9925442684063374
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,0.9960127591706539
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,0.9946841776110069
V89,0,1101,1.0,1.0
sequence,0,9549,0.9777547440599585,0.9524557545292701
V1,1,911,0.5789199060787895,0.703622392974753
V2,1,2363,0.5091131249363609,0.7850190435886585
V3,1,3433,0.4060588616248111,0.7302650742790562
V4,1,3742,0.3860925416175121,0.6707642971672902
V5,1,3502,0.4187943262411348,0.6876070816676185
V6,1,3643,0.40931663985451494,0.7340104309634916
V7,1,3701,0.39711118575747395,0.5920021615779518
V8,1,3104,0.4037301587301587,0.6227448453608248
V9,1,1186,0.3833752093802345,0.7740303541315345
V12,1,1427,0.4399584127534223,0.641906096706377
V23,1,2266,0.5259259259259259,0.7709620476610768
V34,1,3729,0.38938172953206474,0.7138643067846608
V45,1,3696,0.4144625773776027,0.6818181818181819
V56,1,3637,0.40113902847571187,0.7349463843827331
V67,1,3517,0.4127366853414651,0.7068524310491897
V78,1,3172,0.39112654320987655,0.650063051702396
V89,1,1122,0.39905998209489707,0.7361853832442068
sequence,1,9351,0.32526647094607103,0.38199123088439735
V1,2,908,0.4859228362877998,0.6861233480176212
V2,2,2531,0.3833005283331607,0.7230343737653102
V3,2,3447,0.28805013325650075,0.720626631853786
V4,2,3841,0.2742924995052444,0.6271804217651653
V5,2,3555,0.2935146294582473,0.6675105485232067
V6,2,3593,0.29358053948560675,0.6587809629835792
V7,2,3711,0.28652100840336137,0.6076529237402317
V8,2,3182,0.278789330777831,0.650534255185418
V9,2,1147,0.23447559709241952,0.6765475152571927
V12,2,1423,0.3471861471861472,0.5994378074490513
V23,2,2254,0.38870757180156656,0.7111801242236024
V34,2,3829,0.28131178836844617,0.6761556542178114
V45,2,3556,0.2917943716912789,0.6482002249718786
V56,2,3664,0.2819170358437374,0.7232532751091703
V67,2,3564,0.2955030596271524,0.638327721661055
V78,2,3228,0.2671264724116553,0.6171003717472119
V89,2,1145,0.25241844769403826,0.6768558951965066
sequence,2,9479,0.23759763282062218,0.25487920666736996
V1,3,913,0.4792482380579483,0.6177437020810514
V2,3,2470,0.3792464484249537,0.6437246963562753
V3,3,3417,0.28369151153597355,0.6669593210418496
V4,3,3722,0.27130514465244143,0.6093498119290703
V5,3,3546,0.2896983494593056,0.6449520586576425
V6,3,3654,0.2852442951140977,0.5952380952380952
V7,3,3705,0.2804919024259122,0.5368421052631579
V8,3,3160,0.2671396683673469,0.6075949367088608
V9,3,1200,0.2255354892902142,0.64
V12,3,1425,0.3473064264680409,0.5866666666666667
V23,3,2245,0.3848494728833822,0.6721603563474388
V34,3,3662,0.2730888499393286,0.6521026761332605
V45,3,3654,0.2837003787347454,0.6313628899835797
V56,3,3755,0.27817923954886203,0.6559254327563249
V67,3,3580,0.2904259866077789,0.6039106145251396
V78,3,3335,0.2620145346565601,0.5775112443778111
V89,3,1128,0.2429403854773644,0.6391843971631206
sequence,3,9168,0.2366507828454731,0.23592931937172779
V1,4,912,0.1693632567849687,0.4682017543859649
V2,4,2476,0.1295838483724763,0.5884491114701131
V3,4,3495,0.10495121069750632,0.628612303290415
V4,4,3763,0.0966725733412089,0.5684294445920808
V5,4,3596,0.10152791660716835,0.6129032258064516
V6,4,3534,0.10134666111342497,0.5401810979060555
V7,4,3650,0.09728173540439207,0.5320547945205479
V8,4,3139,0.09176283326701154,0.5820324944249762
V9,4,1159,0.06620861961274203,0.5884383088869716
V12,4,1482,0.13296011196641008,0.5492577597840755
V23,4,2305,0.1284323378186194,0.6295010845986985
V34,4,3736,0.09905149051490515,0.6153640256959314
V45,4,3631,0.10097332119599468,0.6023134122831175
V56,4,3693,0.09798910484901473,0.6433793663688059
V67,4,3444,0.10491039932270355,0.5316492450638792
V78,4,3212,0.09117647058823529,0.6042963885429639
V89,4,1088,0.07507774322523322,0.6470588235294117
sequence,4,8425,0.07323734599970314,0.17341246290801182
