HyperVariable Region;Taxonomy Rank to be classified;Test Size;Main Class prop;Naive Bayes - NB(3);Naive Bayes - NB(2);Naive Bayes - NB(0)
V4;6;1906;0.032657361;0.289611752;0.220881427;0.057187828
V5;6;1782;0.038182077;0.27328844;0.244107744;0.049382716
V6;6;1790;0.034401114;0.254189944;0.20726257;0.045810056
V7;6;1803;0.035914553;0.222407099;0.193566278;0.030504714
V8;6;1615;0.032708033;0.244582043;0.185139319;0.048916409
V9;6;611;0.015611814;0.10801964;0.12111293;0.042553191
V12;6;719;0.043402778;0.255910987;0.171070932;0.069541029
V23;6;1129;0.052242055;0.30380868;0.208148804;0.079716563
V34;6;1873;0.035525424;0.317138281;0.243993593;0.074746396
V45;6;1775;0.036206656;0.329014085;0.242253521;0.089014085
V56;6;1871;0.034278003;0.29716729;0.222340994;0.064671299
V67;6;1763;0.037042293;0.306863301;0.218377765;0.055587067
V78;6;1635;0.03218784;0.274006116;0.195718654;0.066666667
V89;6;574;0.018910401;0.141114983;0.120209059;0.050522648
